density,temperature,type,x,y,source
1.1,3700,rings,4.0,0.0,GT
1.1,3700,rings,5.0,0.1875,GT
1.1,3700,rings,6.0,0.6145833333333334,GT
1.1,3700,rings,7.0,0.17708333333333334,GT
1.1,3700,rings,8.0,0.0,GT
1.1,3700,rings,9.0,0.020833333333333332,GT
1.1,3700,rings,10.0,0.0,GT
1.1,3700,coordination,0.0,0.0,GT
1.1,3700,coordination,1.0,0.0,GT
1.1,3700,coordination,2.0,0.05,GT
1.1,3700,coordination,3.0,0.95,GT
1.1,3800,rings,4.0,0.0,GT
1.1,3800,rings,5.0,0.16,GT
1.1,3800,rings,6.0,0.71,GT
1.1,3800,rings,7.0,0.1,GT
1.1,3800,rings,8.0,0.03,GT
1.1,3800,rings,9.0,0.0,GT
1.1,3800,rings,10.0,0.0,GT
1.1,3800,coordination,0.0,0.0,GT
1.1,3800,coordination,1.0,0.0,GT
1.1,3800,coordination,2.0,0.0,GT
1.1,3800,coordination,3.0,1.0,GT
1.1,3900,rings,4.0,0.0,GT
1.1,3900,rings,5.0,0.09782608695652174,GT
1.1,3900,rings,6.0,0.7717391304347826,GT
1.1,3900,rings,7.0,0.07608695652173914,GT
1.1,3900,rings,8.0,0.010869565217391304,GT
1.1,3900,rings,9.0,0.010869565217391304,GT
1.1,3900,rings,10.0,0.03260869565217391,GT
1.1,3900,coordination,0.0,0.0,GT
1.1,3900,coordination,1.0,0.0,GT
1.1,3900,coordination,2.0,0.09,GT
1.1,3900,coordination,3.0,0.91,GT
1.1,4000,rings,4.0,0.0,GT
1.1,4000,rings,5.0,0.05319148936170213,GT
1.1,4000,rings,6.0,0.9148936170212766,GT
1.1,4000,rings,7.0,0.031914893617021274,GT
1.1,4000,rings,8.0,0.0,GT
1.1,4000,rings,9.0,0.0,GT
1.1,4000,rings,10.0,0.0,GT
1.1,4000,coordination,0.0,0.0,GT
1.1,4000,coordination,1.0,0.0,GT
1.1,4000,coordination,2.0,0.06,GT
1.1,4000,coordination,3.0,0.94,GT
1.2,2000,rings,4.0,0.0,GT
1.2,2000,rings,5.0,0.37662337662337664,GT
1.2,2000,rings,6.0,0.33766233766233766,GT
1.2,2000,rings,7.0,0.11688311688311688,GT
1.2,2000,rings,8.0,0.05194805194805195,GT
1.2,2000,rings,9.0,0.06493506493506493,GT
1.2,2000,rings,10.0,0.05194805194805195,GT
1.2,2000,coordination,0.0,0.0,GT
1.2,2000,coordination,1.0,0.0,GT
1.2,2000,coordination,2.0,0.14,GT
1.2,2000,coordination,3.0,0.83,GT
1.2,2000,coordination,4.0,0.03,GT
1.2,2100,rings,4.0,0.0,GT
1.2,2100,rings,5.0,0.35714285714285715,GT
1.2,2100,rings,6.0,0.39285714285714285,GT
1.2,2100,rings,7.0,0.16666666666666666,GT
1.2,2100,rings,8.0,0.03571428571428571,GT
1.2,2100,rings,9.0,0.03571428571428571,GT
1.2,2100,rings,10.0,0.011904761904761904,GT
1.2,2100,coordination,0.0,0.0,GT
1.2,2100,coordination,1.0,0.0,GT
1.2,2100,coordination,2.0,0.07,GT
1.2,2100,coordination,3.0,0.91,GT
1.2,2100,coordination,4.0,0.02,GT
1.2,2200,rings,4.0,0.0,GT
1.2,2200,rings,5.0,0.39080459770114945,GT
1.2,2200,rings,6.0,0.2988505747126437,GT
